1, 1
2, 2
3, 3
4, 1
5, 4
6, 4
7, 5
8, 6
9, 7
10, 1
11, 8
12, 7
13, 9
14, 10
15, 1
16, 2
17, 11
18, 9
19, 2
20, 2
21, 5
22, 1
23, 10
24, 5
25, 10
26, 5
27, 10
28, 4
29, 11
30, 2
31, 3
32, 5
33, 5
34, 11
35, 9
36, 4
37, 7
38, 3
39, 10
40, 10
41, 9
42, 10
43, 6
44, 9
45, 7
46, 5
47, 5
48, 4
49, 8
50, 2
51, 4
52, 5
53, 3
54, 6
55, 11
56, 3
57, 4
58, 5
59, 1
60, 5
61, 6
62, 11
63, 11
64, 8
65, 6
66, 9
67, 10
68, 2
69, 3
70, 3
71, 1
72, 9
73, 3
74, 11
75, 6
76, 6
77, 10
78, 8
79, 6
80, 11
81, 8
82, 10
83, 6
84, 1
85, 7
86, 1
87, 10
88, 9
89, 4
90, 2
91, 6
92, 10
93, 9
94, 5
95, 7
96, 8
97, 11
98, 9
99, 7
100, 5
101, 3
102, 4
103, 2
104, 4
105, 5
106, 4
107, 4
108, 7
109, 1
110, 4
111, 4
112, 4
113, 5
114, 11
115, 6
